Date,Unemployment_Rate,Per_Capita_GDP,Income,No_New_Household,Working_Age_Population,Consumer_Price_Index_All,New_House_Supply,Total_Permits_Counts,Personal_Consumption_Expenditures_Price_Index _2017,Delinquency_Rate_On_Credit_Card_Loans,Rental_Income_Of_Persons_With_Capital_Consumption_Adjustment_In_Billions,Employment_By_Economic_Activity_Construction_Count,Price_Index
2002-01-01,5.7,50091.0,10514.7,1632.0,182566431.891724,177.7,4.2,1665.0,75.431,4.94,206.6,9981250.0,117.14399999999999
2002-02-01,5.7,50158.166666666664,10531.6,1671.0,182798390.110259,178.0,4.0,1787.0,75.558,4.884888888888889,207.3,9994591.380821917,117.845
2002-03-01,5.7,50218.833333333336,10539.0,1559.0,183078312.425159,178.5,4.1,1691.0,75.763,4.835111111111112,208.0,10006641.660273973,118.68700000000001
2002-04-01,5.9,50286.0,10574.2,1625.0,183260453.015323,179.3,4.3,1669.0,76.08,4.78,208.8,10019983.04109589,119.611
2002-05-01,5.8,50311.054945054944,10616.5,1705.0,183508212.496981,179.5,4.0,1716.0,76.13,4.816263736263736,209.0,10032894.05479452,120.72399999999999
2002-06-01,5.8,50336.945054945056,10648.2,1589.0,183669058.444073,179.6,4.2,1758.0,76.225,4.8537362637362635,208.7,10046235.43561644,121.81299999999999
2002-07-01,5.8,50362.0,10621.0,1615.0,183886883.515181,180.0,4.2,1738.0,76.393,4.89,207.9,10059146.44931507,122.88799999999999
2002-08-01,5.7,50341.782608695656,10623.0,1722.0,184159563.752198,180.5,4.0,1695.0,76.543,4.873152173913043,207.5,10072487.830136986,123.83
2002-09-01,5.7,50321.565217391304,10633.6,1641.0,184422418.039234,180.8,3.9,1803.0,76.681,4.856304347826087,207.6,10085829.210958904,124.78
2002-10-01,5.7,50302.0,10661.8,1601.0,184554225.96952,181.2,4.0,1799.0,76.821,4.84,208.0,10098740.224657534,125.735
2002-11-01,5.9,50355.913043478264,10690.9,1718.0,184744733.23744202,181.5,4.0,1771.0,76.897,4.786086956521739,209.6,10112081.605479453,126.67
2002-12-01,6.0,50408.086956521736,10719.9,1671.0,184860046.150508,181.8,4.0,1896.0,76.971,4.73391304347826,212.2,10124992.619178083,127.624
2003-01-01,5.8,50462.0,10710.4,1654.0,185635346.37315002,182.6,4.0,1808.0,77.201,4.68,216.1,10138334.0,128.461
2003-02-01,5.9,50577.044444444444,10674.0,1688.0,185869692.256356,183.6,4.5,1854.0,77.526,4.628333333333333,219.0,10191826.665753424,129.355
2003-03-01,5.9,50680.955555555556,10696.5,1638.0,186085118.209936,183.9,4.1,1757.0,77.725,4.581666666666667,221.0,10240142.621917808,130.148
2003-04-01,6.0,50796.0,10752.7,1662.0,186470753.987361,183.2,4.1,1803.0,77.593,4.53,222.3,10293635.287671233,130.884
2003-05-01,6.1,51032.043956043955,10832.0,1733.0,186649077.97267702,182.9,3.9,1835.0,77.504,4.434395604395605,223.3,10345402.383561645,131.735
2003-06-01,6.3,51275.956043956045,10860.6,1641.0,186800679.576504,183.1,3.5,1875.0,77.588,4.3356043956043955,224.0,10398895.049315069,132.649
2003-07-01,6.2,51512.0,10991.1,1680.0,187066500.33798298,183.7,3.6,1885.0,77.816,4.24,224.9,10450662.14520548,133.77700000000002
2003-08-01,6.1,51671.717391304344,11066.7,1570.0,187304009.475925,184.5,3.5,1966.0,78.079,4.304021739130435,227.0,10504154.810958903,134.969
2003-09-01,6.1,51831.434782608696,10940.8,1719.0,187538981.253475,185.1,3.8,1961.0,78.323,4.368043478260869,230.7,10557647.47671233,136.29399999999998
2003-10-01,6.0,51986.0,10982.3,1728.0,187738514.819484,184.9,3.8,2012.0,78.333,4.43,235.7,10609414.57260274,137.531
2003-11-01,5.8,52051.032608695656,11048.4,1692.0,187972351.58827302,185.0,4.1,1918.0,78.432,4.355869565217391,239.5,10662907.238356164,138.79399999999998
2003-12-01,5.7,52113.967391304344,11057.2,1716.0,188136094.87789,185.5,4.0,1987.0,78.605,4.284130434782608,241.8,10714674.334246576,140.179
2004-01-01,5.7,52179.0,11051.2,1709.0,187688839.482615,186.3,3.8,1952.0,78.909,4.21,242.4,10768167.0,141.64600000000002
2004-02-01,5.6,52277.79120879121,11071.0,1718.0,187876003.023031,186.7,3.7,1966.0,79.077,4.18956043956044,243.1,10804517.210382514,143.192
2004-03-01,5.8,52370.20879120879,11115.6,1794.0,188058175.618794,187.1,3.6,2066.0,79.199,4.1704395604395605,243.5,10838522.245901639,145.059
2004-04-01,5.6,52469.0,11153.3,1938.0,188320660.933455,187.4,4.0,2070.0,79.346,4.15,243.7,10874872.456284152,146.593
2004-05-01,5.6,52589.65934065934,11208.9,1893.0,188475226.058824,188.2,3.8,2150.0,79.604,4.123626373626374,243.6,10910050.079234973,148.186
2004-06-01,5.6,52714.34065934066,11215.8,1857.0,188689296.34988898,188.9,3.9,2020.0,79.831,4.096373626373627,243.0,10946400.289617486,149.85
2004-07-01,5.5,52835.0,11240.5,1881.0,188839779.735266,189.1,4.5,2112.0,79.905,4.07,242.3,10981577.912568307,151.338
2004-08-01,5.4,52972.141304347824,11274.6,1911.0,189070874.198522,189.2,4.3,2056.0,79.946,4.056521739130435,241.7,11017928.12295082,152.63299999999998
2004-09-01,5.4,53109.282608695656,11279.6,1796.0,189216972.380313,189.8,4.1,2041.0,80.104,4.04304347826087,241.4,11054278.333333334,154.179
2004-10-01,5.5,53242.0,11282.5,1839.0,189444450.963992,190.8,3.9,2097.0,80.448,4.03,244.8,11089455.956284152,155.75
2004-11-01,5.4,53402.72826086957,11246.1,1758.0,189655307.838414,191.7,4.3,2079.0,80.758,3.918804347826087,243.4,11125806.166666666,157.52700000000002
2004-12-01,5.4,53558.27173913043,11659.0,1921.0,189811053.36688298,191.7,4.1,2082.0,80.801,3.811195652173913,240.5,11160983.789617486,159.33
2005-01-01,5.3,53719.0,11226.5,1892.0,189990144.46577498,191.6,4.4,2139.0,80.907,3.7,235.3,11197334.0,161.28799999999998
2005-02-01,5.4,53770.322222222225,11229.0,1908.0,190144602.89026898,192.4,4.3,2114.0,81.132,3.6896666666666667,233.0,11244159.542465754,163.344
2005-03-01,5.2,53816.677777777775,11268.8,1787.0,190460726.509212,193.1,4.1,2062.0,81.375,3.6803333333333335,232.7,11286453.580821918,165.812
2005-04-01,5.2,53868.0,11304.2,1927.0,190466075.803662,193.7,4.3,2150.0,81.603,3.67,233.7,11333279.12328767,167.50099999999998
2005-05-01,5.1,53961.956043956045,11352.7,2103.0,190709890.602971,193.6,4.2,2085.0,81.649,3.745824175824176,232.3,11378594.164383562,169.351
2005-06-01,5.0,54059.043956043955,11375.5,1965.0,190962474.634275,193.7,4.3,2178.0,81.7,3.824175824175824,227.5,11425419.706849314,171.19
2005-07-01,5.0,54153.0,11387.1,1886.0,191114389.968375,194.9,4.2,2203.0,82.046,3.9,219.8,11470734.747945206,172.86
2005-08-01,4.9,54208.260869565216,11405.3,1952.0,191266452.871752,196.1,4.5,2219.0,82.377,3.778695652173913,213.4,11517560.290410958,174.442
2005-09-01,5.0,54263.52173913043,11365.2,1922.0,191438220.909398,198.8,4.7,2263.0,83.172,3.657391304347826,207.5,11564385.832876712,176.438
2005-10-01,5.0,54317.0,11428.7,1962.0,191655197.459811,199.1,4.5,2170.0,83.305,3.54,208.5,11609700.873972602,178.028
2005-11-01,5.0,54522.54347826087,11500.1,1907.0,191932856.777771,198.1,5.0,2218.0,83.131,3.6478260869565218,205.7,11656526.416438356,179.68
2005-12-01,4.9,54721.45652173913,11535.2,1941.0,192145684.546109,198.1,4.9,2120.0,83.131,3.752173913043478,203.8,11701841.457534246,180.91
2006-01-01,4.7,54927.0,11651.8,2036.0,192351175.11558202,199.3,5.3,2212.0,83.534,3.86,198.9,11748667.0,182.321
2006-02-01,4.8,54933.2,11702.8,2048.0,192542751.521493,199.4,6.1,2141.0,83.584,3.953,193.9,11757818.369863013,183.287
2006-03-01,4.7,54938.8,11747.5,2245.0,192688879.143996,199.7,5.9,2118.0,83.746,4.037,190.7,11766084.12328767,184.364
2006-04-01,4.7,54945.0,11744.4,2071.0,192814750.630729,200.7,6.3,1998.0,84.135,4.13,187.0,11775235.493150685,184.329
2006-05-01,4.6,54925.54945054945,11736.8,1897.0,192912759.18521798,201.3,6.2,1905.0,84.361,4.126703296703297,183.6,11784091.657534247,184.15599999999998
2006-06-01,4.6,54905.45054945055,11751.9,2050.0,193147767.04692298,201.8,6.3,1867.0,84.569,4.123296703296703,179.7,11793243.02739726,183.507
2006-07-01,4.7,54886.0,11746.9,1934.0,193315277.68087,202.9,7.3,1763.0,84.858,4.12,179.0,11802099.191780822,183.06799999999998
2006-08-01,4.7,54997.19565217391,11737.0,1877.0,193456234.309971,203.8,6.7,1722.0,85.125,4.062717391304348,177.8,11811250.561643835,182.59400000000002
2006-09-01,4.5,55108.391304347824,11800.1,2011.0,193556767.582028,202.8,6.7,1655.0,84.902,4.005434782608696,176.5,11820401.93150685,182.798
2006-10-01,4.4,55216.0,11853.7,1918.0,193703230.089313,201.9,7.3,1570.0,84.702,3.95,172.1,11829258.09589041,183.19799999999998
2006-11-01,4.5,55230.82608695652,11901.9,1893.0,193949729.62242302,202.0,6.6,1535.0,84.731,3.960108695652174,169.0,11838409.465753425,183.609
2006-12-01,4.4,55245.17391304348,11958.6,1888.0,194181587.897399,203.1,6.5,1638.0,85.032,3.969891304347826,165.1,11847265.630136987,184.139
2007-01-01,4.6,55260.0,11956.6,1822.0,194951758.751848,203.437,7.2,1626.0,85.316,3.98,160.9,11856417.0,184.517
2007-02-01,4.5,55333.71111111111,11996.0,1640.0,195126741.73179302,204.226,7.9,1598.0,85.581,3.9937777777777774,161.0,11781486.178082192,184.59799999999998
2007-03-01,4.4,55400.28888888889,12035.1,1623.0,195232594.44513398,205.288,7.9,1596.0,85.894,4.006222222222222,165.6,11713806.726027397,184.15
2007-04-01,4.5,55474.0,12052.8,1539.0,195285473.944645,205.904,7.4,1470.0,86.096,4.02,173.5,11638875.90410959,183.01
2007-05-01,4.4,55531.692307692305,12059.9,1536.0,195378957.753014,206.755,7.8,1493.0,86.346,4.148571428571429,180.3,11566362.205479452,181.6
2007-06-01,4.6,55591.307692307695,12053.3,1481.0,195626531.991346,207.234,8.2,1407.0,86.529,4.281428571428571,186.9,11491431.383561645,180.25400000000002
2007-07-01,4.7,55649.0,12066.4,1534.0,195763504.072784,207.603,8.3,1361.0,86.661,4.41,190.1,11418917.684931507,179.111
2007-08-01,4.6,55719.086956521736,12070.9,1512.0,195850812.920352,207.667,9.2,1321.0,86.72,4.474021739130435,193.7,11343986.863013698,178.11599999999999
2007-09-01,4.7,55789.17391304348,12089.6,1356.0,195981075.168908,208.547,9.2,1261.0,87.054,4.538043478260869,197.2,11269056.04109589,177.558
2007-10-01,4.7,55857.0,12080.4,1405.0,196079324.765129,209.19,8.5,1192.0,87.318,4.6,199.9,11196542.342465753,176.62400000000002
2007-11-01,4.7,55735.69565217391,12070.1,1390.0,196221924.559695,210.834,9.4,1224.0,87.781,4.657282608695652,207.2,11121611.520547945,175.14700000000002
2007-12-01,5.0,55618.30434782609,12120.5,1328.0,196456046.63756302,211.445,9.6,1149.0,87.984,4.712717391304348,219.0,11049097.821917808,174.342
2008-01-01,5.0,55497.0,12137.1,1331.0,196086885.646281,212.174,9.3,1094.0,88.206,4.77,235.6,10974167.0,173.132
2008-02-01,4.9,55567.857142857145,12141.8,1274.0,196234596.966847,212.687,9.7,1014.0,88.382,4.814285714285714,249.8,10866393.975409836,171.541
2008-03-01,5.1,55634.142857142855,12145.9,1195.0,196399720.740184,213.448,10.5,967.0,88.635,4.855714285714286,262.4,10765574.049180327,170.053
2008-04-01,5.0,55705.0,12100.8,1022.0,196185183.956292,213.942,10.3,1008.0,88.799,4.9,272.0,10657801.024590164,168.338
2008-05-01,5.4,55564.230769230766,12696.2,1142.0,196465025.840138,215.208,10.7,995.0,89.18,4.8670329670329675,281.0,10553504.549180329,166.65900000000002
2008-06-01,5.6,55418.769230769234,12376.6,1142.0,196572839.950144,217.463,10.7,1180.0,89.827,4.832967032967033,289.9,10445731.524590164,165.017
2008-07-01,5.8,55278.0,12188.7,1087.0,196675087.052917,219.016,10.5,921.0,90.245,4.8,297.3,10341435.049180329,163.566
2008-08-01,6.1,54827.489130434784,12120.6,1017.0,196811699.220529,218.69,11.3,858.0,90.172,5.083043478260869,305.1,10233662.024590164,161.987
2008-09-01,6.1,54376.97826086957,12149.0,1160.0,196983627.413106,218.877,10.9,797.0,90.247,5.366086956521739,313.4,10125889.0,160.308
2008-10-01,6.5,53941.0,12240.5,1055.0,197148227.499098,216.995,11.6,736.0,89.651,5.64,322.2,10021592.524590164,158.327
2008-11-01,6.8,53698.391304347824,12345.9,1076.0,197282902.994639,213.153,11.4,626.0,88.593,5.933152173913043,326.4,9913819.5,156.142
2008-12-01,7.3,53463.608695652176,12288.8,1021.0,197450630.74704,211.398,11.2,554.0,88.098,6.216847826086957,328.3,9809523.024590164,153.619
2009-01-01,7.8,53221.0,12361.5,777.0,196957168.078512,211.933,12.2,545.0,88.108,6.51,326.1,9701750.0,151.507
2009-02-01,8.3,53150.73333333333,12241.9,819.0,197130254.265795,212.705,10.5,558.0,88.266,6.599555555555555,326.1,9648660.758904109,150.015
2009-03-01,8.7,53087.26666666667,12242.7,839.0,197296740.79632598,212.495,11.0,513.0,88.169,6.680444444444444,327.4,9600709.18630137,148.66
2009-04-01,9.0,53017.0,12320.0,846.0,197765218.550998,212.709,10.7,521.0,88.295,6.77,330.4,9547619.94520548,147.94899999999998
2009-05-01,9.4,53038.0989010989,12500.1,818.0,197891891.901038,213.022,9.3,556.0,88.387,6.677692307692308,335.3,9496243.260273973,147.694
2009-06-01,9.5,53059.9010989011,12273.2,797.0,197604115.283094,214.79,8.5,601.0,88.912,6.582307692307692,342.0,9443154.019178081,148.09
2009-07-01,9.5,53081.0,12218.7,797.0,197767457.71878,214.726,7.9,595.0,88.922,6.49,350.1,9391777.334246576,148.41
2009-08-01,9.6,53232.63043478261,12194.8,792.0,198115216.55840102,215.445,7.5,616.0,89.18,6.43608695652174,356.4,9338688.093150685,148.278
2009-09-01,9.8,53384.260869565216,12230.6,721.0,198362395.499829,215.861,7.8,609.0,89.324,6.382173913043478,361.2,9285598.852054795,148.025
2009-10-01,10.0,53531.0,12193.2,746.0,198618566.659451,216.509,7.4,583.0,89.663,6.33,364.6,9234222.167123288,147.85
2009-11-01,9.9,53582.217391304344,12224.4,844.0,198613900.54709402,217.234,7.6,623.0,89.887,6.144673913043478,370.8,9181132.926027397,148.134
2009-12-01,9.9,53631.782608695656,12280.2,750.0,198622777.171291,217.347,8.0,664.0,89.939,5.965326086956522,380.7,9129756.241095891,147.929
2010-01-01,9.8,53683.0,12285.8,689.0,198064131.621042,217.488,8.1,636.0,90.136,5.78,393.9,9076667.0,147.39600000000002
2010-02-01,9.8,53826.63333333333,12292.0,670.0,198328300.957783,217.281,8.3,650.0,90.134,5.5457777777777775,405.4,9073517.484931506,145.631
2010-03-01,9.9,53956.36666666667,12340.3,635.0,198648956.056007,217.353,7.1,687.0,90.261,5.334222222222222,415.3,9070672.761643836,145.859
2010-04-01,9.9,54100.0,12447.1,737.0,199116837.453571,217.403,6.2,637.0,90.31,5.1,422.7,9067523.246575342,146.403
2010-05-01,9.6,54199.230769230766,12540.3,702.0,199225487.91262698,217.29,9.3,575.0,90.339,4.928571428571429,429.4,9064475.328767123,146.394
2010-06-01,9.4,54301.769230769234,12544.3,894.0,198999262.421882,217.199,8.3,587.0,90.301,4.751428571428572,434.6,9061325.81369863,145.721
2010-07-01,9.4,54401.0,12554.2,572.0,199105074.427268,217.605,8.9,579.0,90.378,4.58,438.5,9058277.895890411,144.991
2010-08-01,9.5,54457.608695652176,12591.4,592.0,199360082.210574,217.923,8.8,580.0,90.502,4.431739130434782,442.6,9055128.380821917,143.916
2010-09-01,9.5,54514.217391304344,12589.9,632.0,199591386.883824,218.275,7.6,563.0,90.592,4.283478260869565,446.8,9051978.865753425,143.019
2010-10-01,9.4,54569.0,12592.5,605.0,199860409.9584,219.035,8.2,558.0,90.881,4.14,450.4,9048930.947945205,142.531
2010-11-01,9.8,54492.17391304348,12605.1,552.0,199933840.025682,219.59,8.2,560.0,91.062,4.032173913043478,457.2,9045781.432876712,142.173
2010-12-01,9.3,54417.82608695652,12680.6,565.0,199961557.434899,220.472,7.0,632.0,91.268,3.9278260869565216,467.3,9042733.515068494,142.06
2011-01-01,9.1,54341.0,12740.1,520.0,199070588.283022,221.187,7.3,576.0,91.542,3.82,480.6,9039584.0,141.52100000000002
2011-02-01,9.0,54433.65555555555,12776.6,615.0,199328475.322804,221.898,8.1,542.0,91.797,3.7614444444444444,490.3,9033192.90410959,140.35
2011-03-01,9.0,54517.34444444445,12742.7,591.0,199524091.216163,223.046,7.2,583.0,92.166,3.7085555555555554,496.5,9027420.301369863,139.981
2011-04-01,9.1,54610.0,12721.3,549.0,199950702.45863,224.093,6.7,581.0,92.557,3.65,498.9,9021029.205479452,140.01
2011-05-01,9.0,54567.8021978022,12705.3,549.0,200048232.572712,224.806,6.6,618.0,92.838,3.584065934065934,501.4,9014844.273972603,139.905
2011-06-01,9.1,54524.1978021978,12756.9,579.0,199917201.43496,224.806,6.6,636.0,92.819,3.515934065934066,503.8,9008453.178082192,139.862
2011-07-01,9.0,54482.0,12805.6,634.0,200019712.799292,225.395,6.7,621.0,92.977,3.45,505.5,9002268.246575342,139.73
2011-08-01,9.0,54649.467391304344,12799.7,614.0,200121131.328388,226.106,6.5,647.0,93.196,3.382608695652174,509.3,8995877.150684932,139.309
2011-09-01,9.0,54816.934782608696,12781.7,603.0,200261981.843865,226.597,6.3,610.0,93.327,3.3152173913043477,515.4,8989486.05479452,138.668
2011-10-01,8.8,54979.0,12791.9,566.0,200456315.211364,226.75,6.0,671.0,93.329,3.25,522.2,8983301.12328767,137.952
2011-11-01,8.6,55101.315217391304,12782.7,585.0,200414593.178849,227.169,5.7,706.0,93.52,3.185978260869565,526.8,8976910.02739726,137.15200000000002
2011-12-01,8.5,55219.684782608696,12898.5,610.0,200418323.18193,227.223,5.3,697.0,93.574,3.124021739130435,527.9,8970725.09589041,136.674
2012-01-01,8.3,55342.0,12967.5,545.0,201012879.326228,227.842,5.3,712.0,93.894,3.06,526.3,8964334.0,136.607
2012-02-01,8.3,55392.41758241758,13029.6,561.0,201108274.046387,228.329,4.8,738.0,94.104,3.0123076923076924,526.3,8990350.792349726,136.533
2012-03-01,8.2,55439.58241758242,13066.4,582.0,201199800.545114,228.807,4.9,806.0,94.284,2.9676923076923076,527.7,9014689.081967212,137.904
2012-04-01,8.2,55490.0,13116.5,671.0,201473874.824689,229.187,4.9,732.0,94.408,2.92,530.4,9040705.87431694,139.154
2012-05-01,8.2,55478.131868131866,13112.5,626.0,201512387.169875,228.713,4.7,796.0,94.302,2.887032967032967,532.7,9065883.415300546,140.155
2012-06-01,8.2,55465.868131868134,13097.2,625.0,201442085.960376,228.524,4.8,794.0,94.254,2.8529670329670327,534.3,9091900.207650274,141.029
2012-07-01,8.2,55454.0,12999.8,676.0,201434361.59993002,228.59,4.6,849.0,94.288,2.82,535.5,9117077.74863388,141.66899999999998
2012-08-01,8.1,55436.815217391304,12961.6,684.0,201503946.658442,229.918,4.6,840.0,94.605,2.7829347826086956,536.2,9143094.540983606,142.279
2012-09-01,7.8,55419.63043478261,13053.1,652.0,201622437.000035,231.015,4.5,930.0,94.893,2.745869565217391,536.6,9169111.333333334,142.908
2012-10-01,7.8,55403.0,13142.0,730.0,201721747.344093,231.638,4.9,887.0,95.174,2.71,537.9,9194288.87431694,143.6
2012-11-01,7.7,55556.65217391304,13315.7,668.0,201770072.04988402,231.249,4.6,917.0,95.109,2.686413043478261,541.4,9220305.666666666,144.585
2012-12-01,7.9,55705.34782608696,13642.7,677.0,201889077.49231097,231.221,4.5,941.0,95.094,2.663586956521739,548.4,9245483.207650274,145.503
2013-01-01,8.0,55859.0,12845.5,714.0,201739926.713021,231.679,4.0,940.0,95.275,2.64,555.9,9271500.0,146.827
2013-02-01,7.7,55877.944444444445,12813.9,729.0,201879587.833252,232.937,4.1,980.0,95.614,2.6021111111111113,562.8,9317469.178082192,147.785
2013-03-01,7.5,55895.055555555555,12852.1,816.0,202092974.71228802,232.282,4.2,936.0,95.488,2.5678888888888887,568.1,9358989.726027397,149.963
2013-04-01,7.6,55914.0,12893.4,712.0,202114604.53795,231.797,4.4,1012.0,95.391,2.53,571.3,9404958.90410959,151.519
2013-05-01,7.5,56032.02197802198,12954.2,708.0,202300530.337311,231.893,4.6,1003.0,95.461,2.5003296703296702,576.5,9449445.205479452,152.85
2013-06-01,7.5,56153.97802197802,12955.7,736.0,202335339.614864,232.445,4.1,942.0,95.673,2.4696703296703295,581.0,9495414.383561645,154.19899999999998
2013-07-01,7.3,56272.0,12941.8,784.0,202343929.264849,232.9,5.5,997.0,95.792,2.44,586.6,9539900.684931507,155.60399999999998
2013-08-01,7.2,56396.67391304348,12969.6,765.0,202433138.888136,233.456,5.5,964.0,95.934,2.419782608695652,589.3,9585869.863013698,156.965
